Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2023,PAM-2021-87016,08/04/2021,PSEGLI,Old Westbury,Nassau,11568,,,4B5L7,Battery,Long Island Power Solutions,NM,6.7,POINT (-73.61854 40.76575)
12/31/2023,SDG-15437,05/10/2019,Con Ed,Briarcliff Manor,Westchester,10510,CENY-W,Ossining_West,10U1,Battery,Tesla,NM,10,POINT (-73.832785 41.155235)
12/31/2023,PAM-2019-75214,01/19/2022,PSEGLI,Commack,Suffolk,11725,,,6HL813,Battery,TESLA,NM,15,POINT (-73.2965971 40.8393268)
12/31/2023,CH-16767,03/21/2023,Central Hudson,Stormville,Dutchess,12582,Fishkill,Shenandoah,8071,Battery,"US Energy Concierge, Inc.",NM,7.6,POINT (-73.7440967 41.5687541)
12/31/2023,498619,04/21/2023,National Grid,BROADALBIN,Fulton,12025,035-Gloversville,VAIL MILLS 392,36_35_39253,Battery,Achilles Tzoulafis (Infinity Solar Systems),NM,10.5,POINT (-74.19492 43.05729)
12/31/2023,SDG-37131,12/15/2021,Con Ed,Cortlandt Manor,Westchester,10567,CENY-W,Buchanan,13W80,Battery,SolarCity,NM,5,POINT (-73.8851763 41.2956208)
12/31/2023,PAM-2019-75801,03/30/2020,PSEGLI,Farmingville,Suffolk,11738,,,8RR902,Battery,TESLA,NM,10,POINT (-73.0330957 40.8304008)
12/31/2023,PAM-2022-231637,10/11/2022,PSEGLI,FARMNGVILLE,Suffolk,11738,,,8G979,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.0330957 40.8304008)
12/31/2023,SDG-65498,12/08/2023,Con Ed,Scarsdale,Westchester,10583,CENY-W,White_Plains,98U3,Battery,"Onsite Energy, Inc.",NM,11.4,POINT (-73.80484 40.98258)
12/31/2023,CH-10077,03/13/2018,Central Hudson,Catskill,Greene,12414,Catskill,North Catskill,2003,Battery,SolarCity,NM,5,POINT (-73.8647561 42.2216903)
12/31/2023,PAM-2022-190231,06/24/2022,PSEGLI,COPIAGUE,Suffolk,11726,,,7Z621,Battery,SUNation Solar Systems Inc.,NM,5,POINT (-73.39833 40.687395)
12/31/2023,PAM-2020-82329,11/16/2020,PSEGLI,FARMNGVILLE,Suffolk,11738,,,8D736,Battery,Harvest Power LLC,NM,10,POINT (-73.0330957 40.8304008)
12/31/2023,19101,08/24/2022,NYSEG,PARKSVILLE,Sullivan,12768,Liberty,NYS-GROSSINGER 211,2401311,Battery,Solar City Corp DBA Tesla,NM,5.8,POINT (-74.7317077 41.8989091)
12/31/2023,PAM-2022-277315,03/16/2023,PSEGLI,JERICHO,Nassau,11753,,,5B373,Battery,"EmPower CES, LLC",NM,5,POINT (-73.5354502 40.7839742)
12/31/2023,CH-15489,09/26/2022,Central Hudson,Kingston,Ulster,12401,Kingston,Lincoln Park,2016,Battery,SunRun Installations INC,NM,3.8,POINT (-74.002205 41.93112)
12/31/2023,PAM-2023-371423,11/27/2023,PSEGLI,HUNTINGTON,Suffolk,11743,,,6UL873,Battery,"Tesla, Inc.",NM,5,POINT (-73.4285012 40.8738497)
12/31/2023,18563,02/02/2022,NYSEG,Stamford,Delaware,12167,Oneonta,NYS-AXTELL RD 511,2307011,Battery,SunCommon,NM,5.8,POINT (-74.6205936 42.4086059)
12/31/2023,PAM-2023-316121,10/24/2023,PSEGLI,ISLANDIA,Suffolk,11749,,,7DM788,Battery,"Sunrun, Inc.",NM,5,POINT (-73.17627 40.80246)
